m0,m1,m2,m3,voltage_mV,std_mV
3942,1479,2208,2946,5.591174047059543,4.749551769018893
3491,2362,117,851,5.467665639210181,4.90623883832956
2638,2284,2550,2511,5.591143528550067,4.7165581800192555
2325,1554,1801,456,5.626422925504319,4.6603452429258985
1651,3816,546,1814,5.017853328043459,5.519280969060119
3075,1950,3938,1435,5.450056459242531,4.964047847470478
3170,3921,1622,760,5.873378704184088,4.237852663788701
1663,1600,2805,3135,5.679372539445174,4.608232962120158
2191,3691,1673,539,5.044312875759148,5.486137650642579
3644,739,3420,290,6.093874935148168,3.8078466995399096
1095,18,1133,467,5.097262489700003,5.447599891375738
1725,2703,3580,3271,5.247199926755578,5.2504348970974055
288,1858,1634,2691,5.573503830072939,4.744316518713915
892,1354,3276,2037,5.273659474471267,5.2144197856025185
3978,3894,600,431,5.626422925504319,4.6603452429258985
3058,2423,4063,1976,5.705801568651387,4.530312792574346
3082,4030,3050,1120,6.199804681539353,3.706933212519437
614,294,203,3396,4.832636494033632,5.742521139846956
2877,3574,3225,3723,5.58235419782098,4.763363246361332
902,573,3568,3002,6.305703909421064,3.5564436798820416
3995,2937,3127,1429,6.1644642475661495,3.6992353746077327
1574,2628,2826,2816,5.864589373455001,4.29046208092607
3519,2111,1619,2509,4.956114383373516,5.595365464864095
1032,3419,622,1228,5.141331217383343,5.36174297143814
3320,2052,2489,1087,4.153508102664266,6.450415900416266
506,2324,1627,3998,3.959471419415876,6.626049319885204
2846,2352,1812,664,4.709158604693747,5.883408010623855
1906,3848,146,3763,4.797357097079379,5.783393788305289
2973,1563,2045,1660,5.485305337687308,4.879784347903769
2702,1298,3775,2641,6.226172673726616,3.518124985723504
2201,3128,210,2899,4.012390514847255,6.579181895449412
3349,2386,3952,2574,5.423566393017365,4.971485445973838
3712,1993,2437,1105,4.418103579821161,6.193117013009528
2430,3646,2036,1198,4.894375438703574,5.669756922547955
2376,3268,1110,956,4.603320413830988,5.999514035202738
1817,2196,728,2541,5.070802941984313,5.48123186116235
431,756,3665,421,5.94396801660207,4.144293718379795
3474,3727,1793,234,4.576860866115299,6.027900781370615
1675,490,704,22,4.453382976775414,6.157139217085509
1340,3021,2662,1346,4.594500564592425,6.009004129517672
807,3935,2564,3944,5.829309976500748,4.353386370106132
2938,2147,505,2850,5.211890011291849,5.268307914681961
772,2884,2874,3955,5.6969817194128245,4.545013025688299
900,312,2368,1371,4.876735740226448,5.690709987953072
2997,2879,2424,3137,5.441206091494492,4.945537289077367
3632,2459,31,3882,4.241706595049898,6.3670271126030915
4045,1408,3655,964,4.929654835657827,5.627450878913955
1428,3165,3331,28,5.908719138157292,4.2469966875622065
2403,2676,3932,629,5.4147465437788025,4.984385458734648
1259,423,364,3573,4.144718771935179,6.48276961901088
684,3003,2493,326,5.485305337687308,4.879784347903769
1619,2488,2443,3345,5.529404583880124,4.812729163313569
3261,1349,939,3684,5.802819910275582,4.3641679959135224
778,862,4,2454,4.1887874996185195,6.417335882422636
1821,3313,808,514,4.594500564592425,6.009004129517672
1042,3978,745,2450,4.647419660023805,5.951640539930813
4053,223,1866,711,5.061952574236275,5.463859230919549
3593,3489,3743,2118,5.652882473220008,4.617559608389074
1127,1999,742,3238,5.1325113681447805,5.373242969574723
3032,76,2580,3021,5.1237220374156935,5.41362967166041
980,139,2661,4077,5.150151066621906,5.350203715183864
3409,625,1559,2734,4.938535721915342,5.672129314337345
3211,116,294,411,5.203100680562762,5.3096242678737
65,398,1169,3993,4.93847468489639,5.616789955511844
2240,361,3796,3372,5.802850428785059,4.399803440785108
2723,2318,929,3048,5.494155705435347,4.898463702761891
1271,1846,3362,1387,5.282448805200354,5.172223099329656
2565,594,3181,2632,5.2207098605304125,5.2564451628693005
3244,924,2467,440,5.3265480513931704,5.110758275142499
49,642,851,2115,5.599963377788629,4.702592754445912
378,2025,828,75,5.77639088106937,4.445578424944549
3953,405,857,0,4.903195287942137,5.659230679911756
2648,2180,264,1422,5.670522171697135,4.588729469268135
3447,1484,1923,2384,5.511795403912473,4.8718710817331
2925,1912,1069,1963,5.582323679311503,4.7304659323754485
3254,3783,1990,2271,5.608783227027192,4.6885691402971394
1873,3317,262,536,5.044312875759148,5.486137650642579
4076,2594,3901,976,5.741080965605641,4.470854569687635
949,3364,3493,3257,5.273628955961791,5.184383606491333
98,2744,1832,1576,4.850276192510758,5.721893762574818
3434,995,1186,3288,5.555864131595814,4.771848182418647
1796,917,3251,1883,4.912015137180701,5.648671050490311
2514,1797,3856,3486,6.102786339915159,3.9110299349918987
2226,905,2519,2301,45.78478347117528,6.992524278761908
2273,2409,519,2754,4.215247047334208,6.392285752990968
1713,2278,1280,3174,4.550401318399611,6.0560388692751665
2637,108,3657,2836,5.917477950376904,4.156348689833818
2550,3792,1526,1182,4.859096041749321,5.711531708331186
3440,2047,1362,1726,5.943937498092594,4.106442623075413
1351,3624,3764,2882,5.71462141788995,4.515547476659729
1717,1885,2652,1393,4.576860866115299,6.027900781370615
3885,1538,2215,225,5.035493026520585,5.49722177702728
1339,2589,3454,2709,4.585711233863338,6.044362607470019
1220,4055,441,3952,4.9472945341349535,5.606094882768829
2931,1578,3956,402,5.335367900631733,5.098330616979801
4024,2835,2688,1808,3.8095339823603016,6.7548242118786535
1630,727,1372,1125,4.735618152409438,5.853722710495087
2843,1928,2331,3751,5.247199926755577,5.250434897097407
528,765,2132,838,5.176610614337596,5.315347836565629
2268,2498,8,714,4.726798303170874,5.86364777536556
2650,2035,1584,1752,5.238380077517014,5.26235559603184
2726,2876,3512,634,4.832636494033632,5.742521139846956
2397,1714,1494,3615,5.432386242255928,4.95853618503816
3069,3969,3435,3521,5.758720664082766,4.440721833078122
3808,3192,1926,2335,5.25601977599414,5.238472221816937
3345,1807,4078,2242,5.776360362559894,4.410312675574366
4084,582,2560,3215,5.405926694540239,4.9972366047126435
4016,1231,312,1412,4.797357097079379,5.78339378830529
605,2571,2790,3014,6.093874935148167,3.8078466995399096
191,1815,1141,1550,5.097231971190528,5.418855367007309
520,3485,1415,2982,5.088412121951964,5.430162788485801
2456,3116,1297,1509,4.241706595049898,6.3670271126030915
3145,3720,445,1913,5.776360362559894,4.410312675574366
2458,2547,3004,2265,6.005676442762537,3.9868840506590155
4094,1708,2084,3698,5.961577196569721,4.072736693668773
3240,94,432,3426,4.832636494033633,5.742521139846957
2896,3719,1478,2707,4.8414563432721955,5.732223514974926
1705,2368,1545,2281,4.8414563432721955,5.732223514974926
2103,3410,104,3122,5.749931333353679,4.490730957404352
1403,3224,801,3891,4.338724936674092,6.272587239987517
3853,3183,2153,721,4.8590960417493205,5.711531708331186
276,1381,539,1611,4.876735740226448,5.690709987953072
910,263,3745,3674,5.088412121951964,5.430162788485801
340,557,3970,3391,4.612170781579029,6.01601461149094
2089,3332,3702,2197,5.5117648854029975,4.839710947040902
3783,2128,1649,679,5.370647297585986,5.048159963551695
1022,2294,1485,1662,6.155705435346538,3.8013702006810743
1595,1616,169,870,5.273628955961792,5.184383606491333
1410,1049,1664,2647,4.753257850886563,5.8337819215801465
814,3229,2263,2351,4.99139378032777,5.552100349753207
3924,2847,3726,1539,5.8910184026612145,4.205496121865464
1729,2965,1655,2153,5.114871669667655,5.3961261946211385
3656,3430,3078,30,5.908688619647817,4.21006880051694
1454,240,552,2485,5.785180211798457,4.3950026479955335
1327,670,3380,231,6.279122287667471,3.4395760828656905
127,1093,3145,3602,5.873409222693565,4.274540784022441
2524,507,1024,2168,5.282448805200354,5.172223099329656
2811,1162,773,1941,4.788537247840815,5.793533328562114
1360,3026,3881,3970,5.93511764885403,4.1231639632345365
1372,1622,347,2405,5.35300759910886,5.07333797492167
592,3616,2001,2954,4.312265388958403,6.298632208773717
986,2219,2183,2774,4.691518906216621,5.903049388872816
3696,1758,1408,2495,5.335367900631734,5.0983306169797995
1634,75,1332,1557,5.1325113681447805,5.373242969574723
3315,1039,1411,3933,4.726798303170874,5.86364777536556
1465,1934,1249,1902,5.458845789971619,4.919389016723014
2479,444,3088,1255,4.920834986419263,5.638077846691989
2252,1288,1003,565,5.061952574236275,5.463859230919549
846,2270,2893,2858,5.626422925504319,4.6603452429258985
3303,2819,279,483,4.876735740226448,5.690709987953072
17,3035,1254,306,4.276985992004151,6.333020259944044
825,2508,1091,3938,4.71797845393231,5.87354282492703
3731,3558,824,3567,6.0762352366710415,3.844483152816109
565,531,3261,164,5.485305337687308,4.879784347903769
1880,1671,3192,3180,5.502945036164434,4.853121542619253
1525,3466,1539,2310,4.744438001648,5.843767477381458
3599,980,769,202,5.300119022186958,5.1780189819058355
2054,2346,3117,3156,5.229560228278452,5.274234603242051
1207,551,4035,1949,5.397106845301676,5.0100392599492976
72,2082,2051,2315,4.576860866115299,6.027900781370615
1556,3857,3696,3832,4.806207464827419,5.800213122436049
857,193,4052,3760,5.3265480513931704,5.110758275142499
642,2931,631,2124,4.506302072206794,6.102392437130976
3121,3248,1116,1779,5.458845789971618,4.919389016723014
2551,2240,2629,2701,5.264809106723228,5.196500686980779
198,477,3837,642,5.573503830072939,4.744316518713915
614,473,3829,1745,5.044343394268624,5.514531769769301
3839,2018,3945,2084,5.114871669667654,5.3961261946211385
2621,3533,3674,2762,6.085055085909604,3.8262189416553953
1302,2540,2250,1516,5.450025940733055,4.932488365672589
2827,1415,3149,4051,6.138004699850461,3.75611179915116
1694,1096,2590,2062,4.612140263069552,5.989995918959184
2141,3597,2720,2994,5.0354930265205855,5.49722177702728
918,1589,3364,1563,5.397106845301676,5.0100392599492976
304,2915,3809,2911,4.9384746848963905,5.616789955511844
1985,3641,2390,2393,4.479842524491104,6.129884053171655
3633,342,1080,91,5.176610614337596,5.315347836565628
4058,1762,977,3433,4.867915890987884,5.701137176114191
1808,1941,2413,2610,4.947325052644429,5.633884989446809
3535,992,2126,3561,3.7301553392132334,6.820680876715626
2234,2976,2241,2792,5.2207708975493645,5.315534107772317
3163,4076,3527,1073,5.529404583880124,4.812729163313568
181,1045,2572,1273,5.203070162053287,5.280129282325193
3283,43,1207,2007,4.806176946317942,5.7732229657770215
1938,588,2176,2177,6.014496292001098,3.9694319173458994
426,1165,2900,4029,5.5117954039124735,4.8718710817331
3015,3087,1101,2730,5.106082338938567,5.436314379962448
511,2475,3155,1295,5.264809106723228,5.196500686980778
795,1269,2062,745,4.506302072206794,6.102392437130976
3497,1472,2484,3925,4.62977996154668,5.970875084257766
573,972,2758,3853,4.259346293527025,6.35007095170634
3737,2851,2957,3497,4.4710226752525415,6.13899522418428
2080,1633,2399,952,4.867915890987884,5.701137176114191
1247,3158,3877,1152,5.899899288918729,4.263093908655977
151,205,1577,3399,4.338724936674092,6.272587239987517
2282,2893,3683,3870,5.564683980834377,4.758110438255664
1144,965,3381,1772,5.608783227027192,4.6885691402971394
2066,2216,1985,568,4.859096041749321,5.7115317083311865
38,278,3648,1338,5.255989257484665,5.208574643877741
1185,1663,1045,3978,4.435743278298289,6.175179511290546
2753,389,615,378,784.9491866817226,2.517474621419759
932,176,1786,180,3.439100314340648,7.049255882699945
2438,2610,686,2101,4.35636463515122,6.255101499875922
3007,1380,2055,3194,5.494186223944823,4.930240715036872
3112,2553,15,1013,4.497482222968231,6.1115827780065395
415,3326,2542,452,4.6562700277718445,5.968208079024505
214,2733,3528,1320,5.476485488448745,4.893037420675483
974,3975,3164,66,4.9561143833735155,5.595365464864095
3356,155,1765,56,4.13586840418714,6.466820280610311
2301,3511,1532,2635,4.894375438703574,5.669756922547953
2799,512,534,3608,4.779717398602252,5.803641750507228
3565,3016,248,2465,4.259346293527025,6.35007095170634
2805,2134,46,220,4.797387615588855,5.8103367460113375
438,4001,635,1462,5.026673177282023,5.508269476919832
3431,411,609,3690,5.397106845301676,5.010039259949297
231,2135,2471,2534,4.532761619922483,6.074661158685962
3869,4070,1710,1696,4.49748222296823,6.1115827780065395
1928,1658,960,1873,5.5999633777886295,4.702592754445912
2697,2795,1425,2254,4.89440595721305,5.697236789050593
3604,338,2475,2748,4.762108218634603,5.850523109322697
3105,2187,2164,1955,5.000213629566332,5.541196192800856
1861,1198,3374,2136,5.741111484115116,4.5056467207989765
3857,1498,1600,2939,4.753257850886563,5.833781921580147
2660,2859,3870,1865,3.5625782036805322,6.954690212795884
2311,1004,2221,1857,42.31543931394392,1.7246866750915466
2020,1651,3854,3038,5.5117954039124735,4.8718710817331
1230,794,2303,2250,4.929654835657827,5.627450878913955
1749,1458,2380,729,5.379497665334026,5.066418845148486
2952,2743,1367,1214,3.8536332285531176,6.717552929294064
1081,2417,1828,993,5.2295602282784515,5.27423460324205
3965,1631,2105,752,4.788537247840815,5.7935333285621144
1434,2464,2870,2147,5.599993896298105,4.735683584965727
3817,65,2099,1204,5.458876308481094,4.951031944352464
382,2790,1859,3707,4.250526444288461,6.3585608011486645
1422,1503,1849,3897,4.1976073488570815,6.409008855821443
1974,3961,4018,2025,4.453382976775414,6.157139217085509
1563,2989,943,3847,4.603320413830988,5.999514035202738
643,3181,2071,3058,5.176610614337596,5.315347836565628
3681,3756,1877,1058,5.4059266945402396,4.997236604712641
118,3473,465,655,4.1976073488570815,6.409008855821443
3324,3399,1317,1249,4.929654835657826,5.627450878913955
2786,3150,2729,3369,5.6088137455366684,4.721758194545332
3107,787,3309,450,4.99139378032777,5.552100349753207
274,381,93,3088,4.744438001648,5.843767477381458
3667,3525,152,1627,4.232886745811334,6.375469979841501
1825,1018,468,705,4.973754081850642,5.5738027995726664
181,2946,3574,2031,4.762077700125126,5.823765887115337
2235,1835,2779,1536,5.485305337687309,4.879784347903767
2441,2254,4087,2803,4.920834986419263,5.638077846691989
2419,777,142,212,5.72347178563799,4.53527962929702
2115,1984,320,1549,4.9384746848963905,5.616789955511844
3650,3497,1969,2884,4.973754081850642,5.5738027995726664
3129,3663,2821,530,4.982573931089206,5.562969149731777
3746,2171,1036,9,3.624317148350475,6.9060940184869715
1073,2469,3915,4061,4.779717398602252,5.803641750507228
116,2559,1236,1356,4.541581469161047,6.065363573542014
2778,1753,3387,2438,5.282448805200354,5.172223099329656
922,1889,3490,1507,4.532761619922483,6.074661158685962
2762,2494,670,2387,5.000213629566332,5.541196192800857
659,184,556,2323,4.426923429059725,6.184161055186539
685,1105,306,1384,5.361827448347423,5.060772312842661
3141,2369,1885,3104,4.638599810785241,5.9612720944375335
490,1324,2416,891,3.730155339213233,6.820680876715626
1783,319,4006,2361,5.0443128757591476,5.48613765064258
3699,1336,3865,3535,5.6969817194128245,4.545013025688299
1134,2651,2191,3415,4.726798303170874,5.86364777536556
1060,1284,2456,103,4.823816644795069,5.752786809718027
1740,3355,3440,3441,5.864558854945524,4.253911213840385
5,722,3208,368,5.494125186925872,4.866479197991237
1107,4081,1537,1980,3.9330118717001863,6.649201219291394
1473,3130,1567,4047,4.391644032105472,6.219832473705976
569,3609,3027,1130,5.785241248817408,4.4654973372908255
1066,1509,1086,1263,4.859126560258797,5.738811730519902
1137,1259,1434,2929,5.467665639210181,4.906238838329559
1008,2869,1590,2875,4.832636494033632,5.742521139846956
2520,3708,985,3736,3.8889126255073707,6.687376967600536
3758,4093,2078,344,5.344187749870296,5.08585729583996
2906,2064,2812,685,5.476485488448745,4.893037420675483
3192,3774,699,297,5.273628955961792,5.184383606491333
1012,1783,426,3146,5.370677816095462,5.079001222398241
1920,894,1699,1926,4.426923429059725,6.184161055186539
248,2804,3623,385,5.2295297097689755,5.244540746063698
995,4040,1890,970,5.617603076265755,4.674486813870047
517,350,577,84,4.462202826013978,6.148080240229909
557,2690,3926,3661,5.450086977752006,4.995407949766902
1528,2897,2385,2203,5.097262489700003,5.447599891375738
2026,1733,3338,3843,5.811639759514146,4.348641849781162
43,1493,71,3362,5.5117648854029975,4.839710947040902
2577,3479,1380,1840,4.294625690481277,6.3158742717136205
958,3738,831,801,4.612140263069552,5.989995918959184
2884,743,1839,3740,5.185430463576159,5.303648971034857
499,1447,1225,1736,4.444563127536852,6.166172269516806
1517,3361,3406,1634,5.423566393017366,4.971485445973838
237,3702,4093,521,5.432386242255928,4.95853618503816
2504,3507,23,47,4.259346293527025,6.35007095170634
3752,944,2285,3974,4.35636463515122,6.255101499875922
3046,4033,2776,920,5.06198309274575,5.492368426883526
2588,3218,3132,3233,5.017883846552936,5.54750559697221
1211,1851,3558,3036,5.379497665334026,5.066418845148486
3802,3279,3533,1870,5.5117648854029975,4.839710947040902
3646,3916,1152,3921,4.7532578508865635,5.833781921580147
3890,152,1911,3116,3.6507766960661647,6.884992605125343
2159,11,1704,279,4.850276192510758,5.721893762574818
1175,2108,3806,312,6.0762352366710415,3.844483152816109
3741,3528,484,126,4.9384746848963905,5.616789955511844
165,2575,3685,4005,5.961577196569721,4.072736693668772
2538,2714,3089,3554,4.71797845393231,5.87354282492703
2220,1973,2697,1299,3.8800927762688073,6.694951137893703
337,1640,3201,2553,5.917477950376904,4.156348689833818
321,2153,2696,2518,4.144688253425703,6.458629320898397
2499,674,40,3337,4.4710226752525415,6.13899522418428
1123,3900,3543,1682,5.846949674977875,4.32207473750831
1892,3826,2288,182,3.853633228553118,6.7175529292940634
2920,3587,2358,64,5.017853328043459,5.5192809690601194
455,3393,994,3819,4.3034455397198395,6.307265298724039
630,3107,387,793,3.1921445356608786,7.228354781863338
3687,3095,4041,4022,5.582323679311503,4.7304659323754485
1492,617,2510,924,5.194250312814723,5.291909543137914
1761,4046,2683,2568,5.2295602282784515,5.27423460324205
3900,661,179,864,5.167821283608509,5.356243463585287
3774,3118,327,3075,4.99139378032777,5.552100349753207
3309,1919,2856,2143,4.7532883693960395,5.860493459742388
2309,1691,3044,257,5.485335856196784,4.911682266105802
1328,2966,1721,419,5.397137363811152,5.041113584391643
1911,3958,664,3468,4.5680410168767365,6.037307600377067
3157,3946,2764,2916,5.35300759910886,5.07333797492167
3401,888,1071,285,5.053132724997712,5.475016876530337
3582,2727,2636,4084,4.585680715353863,6.018466334461384
636,3341,2886,982,4.8414563432721955,5.732223514974926
3764,2811,1490,2772,4.62977996154668,5.970875084257766
2783,1584,3100,1307,4.36521500289926,6.27127811691887
1254,2904,134,191,5.097231971190528,5.418855367007308
2414,2381,3265,3627,5.141331217383343,5.36174297143814
2041,2428,695,1332,4.532761619922484,6.074661158685962
1696,63,912,1418,4.797357097079379,5.783393788305289
3570,2191,3983,1998,4.982573931089206,5.562969149731777
3199,1189,2527,2374,5.097231971190528,5.418855367007309
2708,1738,891,1991,4.541581469161047,6.065363573542014
2632,3674,2838,97,5.494125186925871,4.866479197991237
1538,2117,864,3780,4.982573931089206,5.562969149731777
283,1724,1281,4035,5.652882473220008,4.617559608389073
3609,3381,3396,3406,4.665059358500932,5.9322911799203695
2814,3297,2790,316,4.6738792077394935,5.922573092630074
1570,911,3964,1525,5.432386242255928,4.95853618503816
321,2251,2144,120,4.929654835657826,5.627450878913955
838,1102,2668,2933,5.185430463576159,5.303648971034857
2261,1249,1312,408,4.876766258735923,5.718089253710065
3417,86,880,3093,5.203070162053286,5.280129282325192
2386,1808,2848,1467,5.55589465010529,4.8044623185623285
